A Spanish government source, however, later said that banks able to cover by themselves losses on their toxic property assets will not be forced to remove them from their books while it will be compulsory for those receiving public help.	compulsory	mandatory	mandatory	mandatory	mandatory	mandatory	mandatory	mandatory	mandatory	mandatory	mandatory	mandatory	required	required	required	required	required	required	required	essential	forced	important	manadatory	necessary	obligatory	unavoidable
Rajoy's conservative government had instilled markets with a brief dose of confidence by stepping into Bankia, performing a U-turn on its refusal to spend public money to rescue banks.	instilled	infused	infused	infused	introduced	introduced	introduced	filled	filled	impressed	impressed	ingrained	ingrained	inspired	inspired	promoted	promoted	anewed	created	fixed	generated	implanted	imprinted	placed	put	set	teased
#34-3 "War maniacs of the South Korean puppet military made another grave provocation to the DPRK in the central western sector of the front on Thursday afternoon.	maniacs	fanatics	fanatics	fanatics	fanatics	fanatics	crazies	crazies	crazies	freaks	freaks	freaks	addicts	addicts	fans	fans	lunatics	lunatics	enthusiasts	fiends	fools	hawks	maniacs	mongers	nuts	psychos
The daily death toll in Syria has declined as the number of observers has risen, but few experts expect the U.N. plan to succeed in its entirety.	observers	watchers	watchers	watchers	watchers	watchers	watchers	watchers	watchers	spectators	spectators	spectators	spectators	audience	audience	audience	viewers	viewers	viewers	witnesses	witnesses	observers	patrons	followers	detectives	reporters	onlookers
An amateur video showed a young girl who apparently suffered shrapnel wounds in her thigh undergoing treatment in a makeshift Rastan hospital while screaming in pain.	shrapnel	shrapnel	shrapnel	shrapnel	shrapnel	shrapnel	shrapnel	shrapnel	shrapnel	bullet	bullet	bullet	bullet	bomb	bomb	explosive	explosive	ammo	ammunition	deep	metal	metallic	missile	munition	sharp pieces	splintering
A local witness said a separate group of attackers disguised in burqas — the head-to-toe robes worn by conservative Afghan women — then tried to storm the compound.	disguised	concealed	concealed	concealed	concealed	dressed	dressed	dressed	dressed	hidden	hidden	hidden	camouflaged	camouflaged	changed	changed	covered	covered	disguised	disguised	masked	masked	unrecognizable	unrecognizable	converted	impersonated
Syria's Sunni majority is at the forefront of the uprising against Assad, whose minority Alawite sect is an offshoot of Shi'ite Islam.	offshoot	branch	branch	branch	branch	branch	branch	outgrowth	outgrowth	outgrowth	outgrowth	side shoot	side shoot	side shoot	shoot	shoot	branch.	derivative	limb	offset	part	regroup	runner	side part	spinoff	subsidiary
Although not as rare in the symphonic literature as sharper keys , examples of symphonies in A major are not as numerous as for D major or G major .	symphonic	musical	musical	musical	musical	musical	musical	musical	musical	musical	musical	musical	rhythmic	rhythmic	rhythmic	rhythmic	harmonious	harmonious	symphonic	symphonic	traditional	traditional	harmonic	lyrical	melodic	orchestral
That prompted the military to deploy its largest warship, the BRP Gregorio del Pilar, which was recently acquired from the United States.	deploy	send	send	send	send	send	post	post	post	use	use	use	position	position	deploy	employ	extend	launch	let loose	organize	redistribute	release	send out	set up	situate	station
#35-14 UK police were expressly forbidden, at a ministerial level, to provide any assistance to Thai authorities as the case involves the death penalty.	authorities	officials	officials	officials	officials	officials	officials	officials	officials	officials	officials	officials	powers	powers	powers	powers	command	command	priority	experts	enforcement	advisors	government	police	authorities	officers
